 written on 27Jun2024 at 19:21:55 
   2.5102669999999998        0.0000000000000000        0.0000000000000000     
  -1.2551334999999999        2.1739549999999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
          12
         151
    2    1    1    1    2    2    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    2    2    1    1    1
    2

   -8   -4    0
    3    5    0.16979314E-01 -0.19243357E-01
    4    5   -0.13901593E-02  0.33685467E-02
    5    5   -0.26336442E-02 -0.43262242E-02
    6    5   -0.14613977E-02 -0.17725470E-01
    7    5    0.38728634E-02 -0.20257346E-02
    8    5    0.86479525E-02 -0.62569127E-02
    9    5    0.10333580E-01 -0.16141222E-01
   10    5   -0.29887983E-01  0.11208969E-01
   11    5   -0.32031315E-01 -0.85965267E-02
   12    5   -0.10895457E-01 -0.36603364E-01
    1    6   -0.45721913E-01 -0.38175077E-02
    2    6    0.11810736E-01  0.16955037E-01
    3    6   -0.15802611E-01  0.39960644E-01
    4    6   -0.97537401E-03  0.13082980E-01
    5    6   -0.54519877E-03 -0.14530655E-01
    6    6    0.24856802E-01  0.23048939E-01
    7    6    0.99076783E-02 -0.91163725E-02
    8    6   -0.87118224E-03 -0.14646608E-01
    9    6   -0.11477425E-01 -0.57480186E-02
   10    6    0.18870552E-01  0.11663327E-01
   11    6    0.17893165E-01  0.79267294E-02
   12    6    0.10217780E-01  0.46069097E-01
    1    7   -0.83068495E-02  0.14564732E-01
    2    7   -0.36900646E-01  0.67313657E-02
    3    7   -0.68652057E-02  0.13688684E-01
    4    7   -0.42351448E-02 -0.18438879E-02
    5    7   -0.44908042E-02 -0.42852393E-02
